Gene	Freq(%)
FLT3	28.00
NPM1	27.00
DNMT3A	24.50
IDH2	10.00
IDH1	9.50
RUNX1	8.50
TET2	8.50
TP53	8.00
NRAS	7.50
CEBPA	6.50
WT1	6.00
PTPN11	4.50
KIT	4.00
KRAS	4.00
U2AF1	4.00
SMC1A	3.50
SMC3	3.50
TTN	3.00
STAG2	3.00
PHF6	3.00
ASXL1	2.50
BRINP3	2.50
RAD21	2.00
PLCE1	2.00
CACNA1B	1.50
CACNA1E	1.50
COL12A1	1.50
DNAH9	1.50
EZH2	1.50
KDM6A	1.50
FCGBP	1.50
CROCC	1.50
PTPRT	1.50
DIS3	1.50
SPEN	1.50
SMG1	1.50
SUZ12	1.50
CSMD1	1.50
MUC16	1.50
GBP4	1.50
PHACTR1	1.50
APOB	1.00
CALR	1.00
CBFB	1.00
CBL	1.00
CD74	1.00
CHD4	1.00
DOCK2	1.00
DRD2	1.00
EGFR	1.00
ETV6	1.00
FLG	1.00
GATA2	1.00
GJB3	1.00
GRID1	1.00
GRIK2	1.00
GRIK4	1.00
GRM3	1.00
GRM8	1.00
HNRNPK	1.00
TNC	1.00
KCNA4	1.00
KDR	1.00
MAP2	1.00
ADAM11	1.00
MEFV	1.00
NF1	1.00
DDR2	1.00
P2RY2	1.00
PPP1R3A	1.00
RBBP4	1.00
RFC3	1.00
RYR3	1.00
SCN1A	1.00
SI	1.00
NR2E1	1.00
TUBA3C	1.00
CUL1	1.00
CADPS	1.00
EED	1.00
BSN	1.00
TOP3B	1.00
DCLK1	1.00
MTA2	1.00
NRXN3	1.00
THRAP3	1.00
MED12	1.00
ZBTB33	1.00
SEMA3A	1.00
DLC1	1.00
PRPF8	1.00
SCAF8	1.00
RIMS1	1.00
HECW1	1.00
ATP10B	1.00
PSME4	1.00
MTUS2	1.00
BICRAL	1.00
SETBP1	1.00
GIGYF2	1.00
R3HCC1L	1.00
WAC	1.00
DDX41	1.00
KDM3B	1.00
CNTN5	1.00
DCHS2	1.00
BCOR	1.00
PHIP	1.00
MTMR8	1.00
CACNA2D3	1.00
KCNK13	1.00
NMUR2	1.00
STRIP2	1.00
PLEKHH1	1.00
ZNF687	1.00
RNF213	1.00
SEMA4A	1.00
PRAMEF2	1.00
RIPOR1	1.00
E2F8	1.00
TRPM3	1.00
TET1	1.00
ABTB1	1.00
