Test1	Test2	Test3	Test4	Test5	Test6	Test7	Test8	Test9	Test10
Gene1	2.10710773959887	0.549481477438024	3.10324225657386	-0.177964445321905	3.21190787258724	2.30747454946681	3.15263578657315	-1.07237790735654	3.00812951045147	1.2475698167386
Gene2	2.51587143719998	-0.0550986429512266	2.60875621912828	-2.29850590280428	2.06607234083659	-0.283827546234282	5.08488710248703	1.53055943711939	2.94499537631419	0.458219060796162
Gene3	4.16844813633259	1.19718732582009	2.7159029961628	-0.256982863866758	2.58755235315677	-0.77455408694563	2.2409299599991	2.17477701848108	2.61908624337336	1.3443066465326
Gene4	4.18172209862363	-0.528557074052865	4.30789974602842	-0.275116959606363	3.44674285506951	0.326339812333886	3.86009554009826	1.47396509647922	2.55926867576245	1.43432391628219
Gene5	2.42871262057947	-0.278018434443565	2.81551908560825	-0.8567563935997	2.54685741393743	0.706978129302199	4.43941986991939	0.309319080291773	3.1389622760166	0.328441069074301
Gene6	2.90282198045042	0.89682063479349	4.00922859758941	2.17870109924245	3.98897094318683	-0.00719420320821209	4.04715566231372	1.24703004854851	1.17798864889627	-0.118091714540938
Gene7	2.22849585243071	1.72400927608145	4.02152844107716	0.163764923841269	3.04503324919177	-0.640305838442174	2.87632890387342	-0.382647660916069	1.67442203162243	-0.450808743022899
Gene8	-0.124907707622213	1.12447081610871	1.86701426199887	1.92497375550913	3.08947906943399	0.0594084805891783	3.88059323498058	-1.37821932639094	1.17983077752062	0.559207845831096
Gene9	2.43976461371036	-0.173548756098308	2.29948158432291	-0.788380131688225	3.25516126212461	0.0368508126706468	3.26518738418342	0.541380583605909	1.37753570726126	-0.58417338708924
Gene10	2.38515243593475	-0.256830040248862	2.30051439340513	0.762196852940209	4.04156499641068	-0.309185663718757	4.44052240044912	-0.534878733821197	1.64144441323136	-0.637931556548475
Gene11	-1.84584731354713	0.706712698686481	-0.581139151115235	1.33190455676487	0.114313632060451	1.08548281312343	0.967835543256849	2.0211031519814	-3.58780173642427	1.08460935144475
Gene12	0.945924929724937	2.73152950824917	-1.28767539132044	1.20186612231378	-0.64819251449605	1.29313249191066	1.20705626116379	1.11550444791309	0.64556440106999	2.76680438261574
Gene13	-0.851412714972315	0.786930192011672	-1.98171214797929	1.90826465521516	0.940551135319435	1.57695522132633	0.459002754824507	1.91955533806667	-0.685911269913062	3.18197801839741
Gene14	-1.45193861040183	3.82926141849207	-0.558591218384111	3.23686765721202	-0.584177738064717	1.26722429485925	-0.528702897147724	1.87602542985348	1.33607720169631	2.92844513758824
Gene15	0.894044488160424	5.39492529497278	-0.751674219554316	4.29631139568629	0.720750418671638	5.6789269324142	0.911440508279392	5.78991500290275	-0.00843786233113995	6.19825709793185
Gene16	-0.67014874849676	6.16189585786533	1.44037021330212	6.33618098736103	0.295116953459354	6.30743127608166	-1.11412886959812	5.34331611084339	1.19977122272822	7.22548784624878
Gene17	1.09292112804821	6.36146583858316	-0.397832531623236	6.70507494622413	1.25822523976701	8.16408040584133	-0.657062481276903	8.3341242006696	0.2703503399438	6.65800026655406
Gene18	0.331030256833971	6.49676149520451	0.787926212767329	6.26770813295251	-1.44265526792895	7.08600571210341	0.620857881223856	6.52903587662385	-0.0969639282061976	5.96040626799078
Gene19	-1.03584165632288	6.74317377340055	-0.524465512182065	6.86655488586632	0.912931027726945	6.73915415854802	-1.96651522542927	3.75697508092403	-0.943705638617885	6.73224194098339
Gene20	2.81646077310984	5.25525451120366	0.33783975321105	5.24554668818607	-1.41153437504863	5.79540926318484	-0.902299278669638	4.86617915441632	0.717021585991035	4.9690312769605
